term,coef,std_err,t,p,ci_low,ci_high
C(Employment)[T.2],0.020217770798525436,0.20702376936935316,0.09765917633571201,0.9222029331073017,,
C(Employment)[T.3],0.03839769994166681,0.26184318263629086,0.1466438788097169,0.8834131177676141,,
C(Employment)[T.4],-0.10309388324496616,0.34906003460926416,-0.29534714095920167,0.7677287084568905,,
C(Employment)[T.5],0.07123111489761441,0.46378810770033485,0.1535854708539414,0.8779365935851096,,
C(Employment)[T.6],0.9206217497709845,1.2453040589919475,0.7392746720156138,0.45974022590130215,,
C(Employment)[T.7],0.6619435694931425,0.5054576853577821,1.3095924518876267,0.19033374328325725,,
C(Employment)[T.What is your current job or work status?],-1.9336273295489774e-36,1.0454221996683343e-36,-1.8496138021197854,0.06436923208251358,,
C(Urban_Rural)[T.2],0.03806954691231018,0.16381493154209223,0.23239363197199284,0.8162322945045654,,
C(Urban_Rural)[T.3],0.42456287951983473,0.23645201261810472,1.7955562095618496,0.07256512560767642,,
C(Urban_Rural)[T.Do you live in an urban or rural area?],0.0,0.0,,,,
C(Product)[T.Lab]:C(PriceLvl)[T.Mid],0.04382480617118517,0.23224703571452732,0.18869909808043195,0.8503286585167507,,
C(Product)[T.Premium]:C(PriceLvl)[T.Mid],0.22362988724913008,0.21761737307741086,1.0276288335195576,0.3041244557095498,,
C(Product)[T.Lab]:C(PriceLvl)[T.High],-0.16819151271019941,0.162251970771921,-1.0366069016605517,0.2999190955067177,,
C(Product)[T.Premium]:C(PriceLvl)[T.High],-0.12393140649238861,0.1445037098410398,-0.8576347737280822,0.3910941672493289,,
PriceUSD,0.40113847370581535,0.12646983438925088,3.1718114888265365,0.0015149130888049431,,
C(Product)[T.Lab]:PriceUSD,-0.41692492578822193,0.08482249705260286,-4.915263524129276,8.866311448079103e-07,,
C(Product)[T.Premium]:PriceUSD,0.0754655550210867,0.13060412345336128,0.577819084311189,0.5633862692623679,,
