term,coef,std_err,t,p
C(Product)[T.Premium]:C(TasteLvl)[T.Mid],4.766088627292406e-16,2.4921856015286576e-16,1.9124131944141645,0.055823216947514194
C(Product)[T.Lab]:C(TasteLvl)[T.High],-0.13315219251628363,0.12936219158320317,-1.0292975937304123,0.30333985369282457
C(Product)[T.Premium]:C(TasteLvl)[T.High],0.44100265488710405,0.05492991516011238,8.028460513759182,9.870336915706693e-16
C(Product)[T.Lab]:C(HealthLabel)[T.1],0.905055506177705,0.3771486097989907,2.3997317838718097,0.01640708886483877
C(Product)[T.Premium]:C(HealthLabel)[T.1],0.3789098366355905,0.5852923994725608,0.6473855409314165,0.5173824514964542
C(PriceLvl)[T.Mid]:C(NutriLvl)[T.Mid],-0.2339770582053343,0.1443042009658015,-1.6214154310087223,0.10492857356017883
C(PriceLvl)[T.High]:C(NutriLvl)[T.Mid],0.285186561945334,0.21585462759776772,1.3211973498977385,0.18643556973021824
C(PriceLvl)[T.Mid]:C(NutriLvl)[T.High],0.2326671827592842,0.15886785130155645,1.464532823054583,0.14304842158674955
C(PriceLvl)[T.High]:C(NutriLvl)[T.High],0.40885336442828635,0.16032119829192903,2.550214000295861,0.010765681382317104
C(PriceLvl)[T.Mid]:C(TasteLvl)[T.Mid],0.24142500919184465,0.26845590168395145,0.8993097476250315,0.3684876967376287
C(PriceLvl)[T.High]:C(TasteLvl)[T.Mid],-0.881893438852145,0.2518872752047746,-3.501143271867147,0.0004632667183388918
C(PriceLvl)[T.Mid]:C(TasteLvl)[T.High],0.5844420711835422,0.23405684689111636,2.497009076839464,0.012524575076889697
C(PriceLvl)[T.High]:C(TasteLvl)[T.High],-0.2765916088127217,0.21778695281071056,-1.2700100040112192,0.20408106666666703
C(PriceLvl)[T.Mid]:C(HealthLabel)[T.1],0.2522305752492083,0.3389757139012277,0.7440963021991138,0.4568182162570734
C(PriceLvl)[T.High]:C(HealthLabel)[T.1],0.5329236701264772,0.3538680008644669,1.5059956504249998,0.132068290249471
C(NutriLvl)[T.Mid]:C(TasteLvl)[T.Mid],0.3142153754179547,0.19502710160262796,1.6111369796089956,0.10714986990699416
C(NutriLvl)[T.High]:C(TasteLvl)[T.Mid],0.26021988839119037,0.23566400922361577,1.1041986820493839,0.2695069612537503
C(NutriLvl)[T.Mid]:C(TasteLvl)[T.High],0.06684505189652583,0.2248027214154897,0.2973498340039222,0.7661994390965683
C(NutriLvl)[T.High]:C(TasteLvl)[T.High],0.24100541047429574,0.21824175962769946,1.104304743901575,0.2694609656804239
C(NutriLvl)[T.Mid]:C(HealthLabel)[T.1],-0.06729972624525674,0.19793361909672139,-0.3400115985974588,0.7338477933392299
C(NutriLvl)[T.High]:C(HealthLabel)[T.1],-0.4512442236162813,0.27746695418129197,-1.6262989765673008,0.10388606939530587
C(TasteLvl)[T.Mid]:C(HealthLabel)[T.1],0.25656126408467567,0.40959644711488175,0.6263757068496166,0.531068539853486
C(TasteLvl)[T.High]:C(HealthLabel)[T.1],-0.1259281076101897,0.4309544571483845,-0.29220746072207493,0.7701280076221897
SustainScore_c,0.23635446008137626,0.045120754091761105,5.238264848160722,1.62093337040224e-07
PriceUSD_c,-0.22655142673861706,0.1622777023549747,-1.3960724329399652,0.16269268421882332
LabPriceGap_c,0.05226258116618673,0.08551098528535336,0.611179733127674,0.5410805990131526
Age_num_c,-0.003892728009234788,0.0045324411332623455,-0.8588590330864139,0.3904182936387327
Education_num_c,0.035962576788196025,0.020093370559095804,1.7897732330386253,0.07349037390311074
HouseholdSize_num_c,0.019094398702600254,0.04230453907769154,0.45135579110160556,0.6517331405387252
Income_num_c,0.0013723819262303754,0.0011962717599162114,1.1472158519620148,0.25129242162466114
